ID,Start Time,End Time,# Observations
107,2017-11-14 10:42:57,2018-05-14 05:49:45,72
108,2017-11-15 05:49:40,2018-05-14 05:49:45,71
109,2017-11-18 17:23:42,2018-05-18 10:40:24,72
110,2017-11-19 10:43:28,2018-05-18 10:40:24,71
111,2017-11-22 10:56:12,2018-05-21 10:54:16,71
112,2017-11-24 17:24:32,2018-05-23 17:24:32,71
113,2017-11-27 05:49:40,2018-05-26 10:56:35,71
114,2017-11-30 17:23:42,2018-05-31 10:52:56,72
115,2017-12-03 05:50:30,2018-06-01 05:50:31,72
116,2017-12-06 17:24:31,2018-06-04 17:24:32,72
117,2017-12-09 05:49:39,2018-06-07 10:40:22,72
118,2017-12-12 17:23:42,2018-06-10 10:50:26,72
119,2017-12-14 10:44:28,2018-06-10 10:50:26,71
120,2017-12-15 05:50:29,2018-06-10 10:50:26,70
121,2017-12-18 17:24:31,2018-06-16 17:24:33,70
122,2017-12-19 10:44:38,2018-06-16 17:24:33,69
123,2017-12-21 05:49:39,2018-06-20 10:52:11,69
124,2017-12-24 17:23:41,2018-06-22 17:23:58,69
125,2017-12-27 10:54:35,2018-06-25 10:52:53,69
126,2017-12-30 17:24:30,2018-06-30 10:54:40,70
127,2018-01-02 05:49:38,2018-07-02 10:40:21,70
128,2018-01-05 17:23:41,2018-07-05 10:54:27,71
129,2018-01-08 05:50:28,2018-07-07 10:45:15,71
130,2018-01-11 17:24:30,2018-07-12 10:40:20,72
131,2018-01-14 05:49:38,2018-07-13 05:49:45,72
132,2018-01-17 17:23:40,2018-07-17 10:42:58,73
133,2018-01-21 10:54:28,2018-07-20 10:52:13,73
134,2018-01-23 17:24:29,2018-07-22 17:24:35,73
135,2018-01-26 05:49:37,2018-07-25 10:54:15,73
136,2018-01-29 17:23:40,2018-07-28 17:23:49,73
137,2018-02-01 05:50:27,2018-08-01 10:40:18,73
138,2018-02-04 17:24:29,2018-08-04 10:50:22,74
139,2018-02-05 10:53:34,2018-08-06 10:43:40,74
140,2018-02-07 05:49:37,2018-08-06 10:43:40,73
141,2018-02-10 17:23:40,2018-08-11 10:40:17,74
142,2018-02-12 10:41:37,2018-08-12 05:50:35,74
143,2018-02-13 05:50:27,2018-08-12 05:50:35,73
144,2018-02-16 17:24:29,2018-08-15 17:24:37,73
145,2018-02-20 10:55:39,2018-08-19 10:51:24,73
146,2018-02-22 17:23:39,2018-08-21 17:23:48,73
147,2018-02-25 10:50:18,2018-08-24 10:50:58,73
148,2018-02-28 17:24:29,2018-08-27 17:24:38,73
149,2018-03-04 10:44:07,2018-08-31 10:40:13,73
150,2018-03-06 17:23:40,2018-09-02 17:23:48,73
151,2018-03-09 05:50:27,2018-09-05 10:45:27,73
152,2018-03-12 17:24:29,2018-09-08 17:24:38,73
153,2018-03-14 10:40:14,2018-09-11 05:49:46,73
154,2018-03-15 05:49:37,2018-09-11 05:49:46,72
155,2018-03-18 17:23:40,2018-09-14 17:23:49,72
156,2018-03-21 05:50:27,2018-09-18 10:54:20,72
157,2018-03-24 17:24:29,2018-09-20 17:24:38,72
158,2018-03-27 05:49:37,2018-09-23 05:49:46,72
159,2018-03-30 17:23:40,2018-09-26 17:23:49,72
160,2018-04-02 05:50:28,2018-09-30 10:44:11,72
161,2018-04-05 17:24:29,2018-10-03 10:56:19,73
162,2018-04-06 10:53:31,2018-10-05 10:40:19,73
163,2018-04-08 10:45:39,2018-10-05 10:40:19,72
164,2018-04-11 17:23:41,2018-10-10 10:40:18,73
165,2018-04-14 05:50:28,2018-10-11 05:50:37,73
166,2018-04-17 17:24:30,2018-10-15 10:40:19,74
167,2018-04-18 10:45:12,2018-10-15 10:40:19,73
168,2018-04-21 10:56:29,2018-10-18 10:53:49,73
169,2018-04-23 17:23:41,2018-10-20 17:23:50,73
170,2018-04-26 10:52:02,2018-10-23 05:50:37,73
171,2018-04-29 17:24:31,2018-10-26 17:24:39,73
172,2018-05-01 10:50:29,2018-10-29 05:49:47,73
173,2018-05-03 10:42:09,2018-10-29 05:49:47,72
174,2018-05-05 17:23:42,2018-11-02 10:53:45,73
175,2018-05-06 10:54:23,2018-11-04 10:44:26,73
176,2018-05-08 10:40:25,2018-11-04 10:44:26,72
177,2018-05-11 17:24:31,2018-11-07 17:24:39,72
178,2018-05-14 05:49:45,2018-11-10 05:49:47,72
179,2018-05-17 17:23:42,2018-11-13 17:23:49,72
180,2018-05-18 10:40:24,2018-11-13 17:23:49,71
181,2018-05-21 10:54:16,2018-11-17 10:56:45,71
182,2018-05-23 17:24:32,2018-11-19 17:24:38,71
183,2018-05-26 10:56:35,2018-11-22 10:56:52,71
184,2018-05-29 17:23:43,2018-11-24 17:32:46,71
185,2018-05-31 10:52:56,2018-11-28 05:50:36,71
186,2018-06-01 05:50:31,2018-11-28 05:50:36,70
187,2018-06-04 17:24:32,2018-12-01 17:24:38,70
188,2018-06-07 10:40:22,2018-12-04 05:49:46,70
189,2018-06-10 10:50:26,2018-12-09 10:46:48,71
